Eqn,Compound Number,Name,Formula,CAS,Mol. Wt.,C1,C2,C3,C4,"Tmin, K",Density at Tmin,"Tmax, K",Density at Tmax
105,123,Dodecane,C12H26,112-40-3,170.033484,0.33267,0.24664,658,0.28571,263.057,4.525,658.00,1.3488
105,124,Eicosane,C20H42,112-95-8,282.054748,0.18166,0.23351,768,0.28571,309.058,2.7293,768.00,0.7780
105,125,Ethane,C2H6,74-84-0,30.069,1.9122,0.27937,30532,0.29187,90.35,21.64,305.032,6.8447
105,126,Ethanol,C2H6O,64-17-5,46.06844,1.6288,0.27469,514,0.23178,159.05,19.41,514.00,5.9296
105,127,Ethylacetate,C4H8O2,141-78-6,88.1512,0.8996,0.25856,5233,0.278,189.060,11.478,523.030,3.4793
105,128,Ethylamine,C2H7N,75-43928,45.08368,1.0936,0.22636,45615,0.25522,192.015,17.588,456.015,4.8312
105,129,Ethylbenzene,C8H10,100-41-4,106.0165,0.741,0.26162,61715,0.28454,178.020,9.047,617.015,2.6772
105,130,Ethylbenzoate,C9H10O2,93-89-0,150.01745,0.48864,0.23894,698,0.28421,238.045,7.298,698.00,2.0450
105,131,2-Ethylbutanoicacid,C6H12O2,88-44079,116.015828,0.6685,0.25707,655,0.31103,258.015,8.2198,655.00,2.577
105,132,Ethylbutyrate,C6H12O2,105-54-4,116.015828,0.63566,0.25613,571,0.27829,175.015,8.4912,571.00,2.4818
105,133,Ethylcyclohexane,C8H16,1678-91-7,112.021264,0.61587,0.26477,60915,0.2854,161.084,7.8679,609.015,2.3261
105,134,Ethylcyclopentane,C7H14,1640-89-7,98.18606,0.71751,0.26903,5695,0.27733,134.071,9.0179,569.050,2.6670
105,135,Ethylene,C2H4,74-85-1,28.05316,2.0961,0.27657,28234,0.29147,104.00,23.326,282.034,7.5789
105,136,Ethylenediamine,C2H8N2,107-15-3,60.09832,0.7842,0.2702,593,0.2254,284.029,15.055,593.00,3.7880
105,137,Ethyleneglycol,C2H6O2,107-21-1,62.06784,1.315,0.25125,720,0.21868,260.015,18.31,720.00,5.2338
105,138,Ethyleneimine,C2H5N,151-56-4,43.0678,1.3462,0.23289,537,0.23357,195.020,21.45,537.00,5.784
105,139,Ethyleneoxide,C2H4O,75-21-8,44.05256,1.836,0.2624,46915,0.2696,160.065,23.477,469.015,7.0550
105,140,Ethylformate,C3H6O2,109-94-4,74.07854,1.1343,0.26168,5084,0.2791,193.055,14.06,508.040,4.3347
105,141,2-Ethylhexanoicacid,C8H16O2,149-57-5,144.0211,0.47428,0.2528,6746,0.25442,155.015,6.926,674.060,1.8950
105,142,Ethylhexylether,C8H18O,5756-43-4,130.022792,0.55729,0.2714,583,0.29538,180.00,6.612,583.00,2.0534
105,143,Ethylisopropylether,C5H12O,625-54-7,88.14818,0.8185,0.26929,489,0.3621,140.00,9.9236,489.00,3.0395
105,144,Ethylisopropylketone,C6H12O,565-69-5,100.015888,0.68162,0.25152,567,0.3182,204.015,8.9749,567.00,2.710
105,145,Ethylmercaptan,C2H6S,75-44044,62.13404,1.347,0.2694,49915,0.27866,125.026,16.242,499.015,4.8430
105,146,Ethylpropionate,C5H10O2,105-37-3,102.01317,0.745,0.25563,546,0.2795,199.025,9.6317,546.00,2.8968
