SMILES,pKa
CC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,2.53
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,2.55
CC1(C)S[C@@H]2[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,2.6
O=C(O)COc1ccc(Cl)cc1Cl,2.64
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,2.65
CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O,2.66
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@H](O[C@H]2OC(C(=O)O)[C@@H](O)[C@@H](O)C2O)C=C[C@H]3[C@H]1C5,2.77
Cc1cc(=O)oc2cc(C3OC(C(=O)O)C(O)C(O)C3O)ccc12,2.82
CN1CC[C@]23c4c5ccc(O[C@H]6OC(C(=O)O)[C@@H](O)[C@@H](O)C6O)c4O[C@@H]2[C@H](O)C=C[C@H]3[C@H]1C5,2.86
O=C(O)c1ccccc1O,2.88
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,2.92
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.01
NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)O,3.18
NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,3.2
Cc1cc(Cl)ccc1O[C@H](C)C(=O)O,3.21
NCC(=O)NCC(=O)NCC(=O)O,3.23
NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,3.37
NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,3.38
NCC(=O)NCC(=O)NCC(=O)NCC(=O)O,3.38
CC(=O)Oc1ccccc1C(=O)O,3.5
CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,3.73
Cc1cnc2c(C(=O)O)c(Cl)ccc2c1,3.96
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,4.09
O=C(O)c1ccc2ccccc2c1,4.18
COc1ccc2cc(C(C)C(=O)O)ccc2c1,4.18
CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,4.31
CC(C)Cc1ccc(C(C)C(=O)O)cc1,4.45
CC(=O)O,4.55
O=C(O)CCCCc1ccccc1,4.56
CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](O)CC(=O)[C@H]1C/C=C/CCCC(=O)O,4.77
CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](O)CC(=O)[C@H]1CCCCCCC(=O)O,4.87
